Module Code,Module Title,Credits,Term,ELE Link,prerequisites,Prerequisites,Coerequisites,Prerequisite_Codes,Coerequisite_Codes,Non_Requisite_Codes,Year
BEM3030,International Business History,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM3030&ay=2023/4&sys=0,,None,None,[],[],[],3
BEM3033,Strategic Management,30.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BEM3033&ay=2023/4&sys=0,,You must have taken (BEM1018 or BEM1019 or BEM1023 or BEM1028) and (BEM2020 or BEM2047 or BEM2007 or BEM2027 or BEA2005 or BEA2019),None,"['BEM2027', 'BEM2047', 'BEM2007', 'BEM2020', 'BEM1019', 'BEM1018', 'BEM1028', 'BEA2019', 'BEA2005', 'BEM1023']",[],[],3
BEM3033A,Strategic Management,30.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BEM3033A&ay=2023/4&sys=0,,You must have taken (BEA1005 or BEM1028) and (BEA2017).,None,"['BEM1028', 'BEA1005', 'BEA2017']",[],[],3
BEM3038,Co-operative Enterprise,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM3038&ay=2023/4&sys=0,,None,None,[],[],[],3
BEM3041,Marketing Management and Strategy,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM3041&ay=2023/4&sys=0,,BEM1019 Fundamentals of Marketing or BEM2016 Consumer Behaviour,None,"['BEM2016', 'BEM1019']",[],[],3
BEM3046,Managing Human Resources: Advanced Issues,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM3046&ay=2023/4&sys=0,,BEM2021,None,['BEM2021'],[],[],3
BEM3047,Contemporary Leadership Issues,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM3047&ay=2023/4&sys=0,,"None, although some understanding of leadership theory and practice will stand students in good stead for this module.",None,[],[],[],3
BEM3048,Leading Change in Practice,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM3048&ay=2023/4&sys=0,,None,None,[],[],[],3
BEM3048A,Leading Change in Practice,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM3048A&ay=2023/4&sys=0,,None,None,[],[],[],3
BEM3051,Organisational Development,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM3051&ay=2023/4&sys=0,,BEM2047 and BEM2021,None,"['BEM2047', 'BEM2021']",[],[],3
BEM3052,Managing Change and Crisis in Organisations,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM3052&ay=2023/4&sys=0,,None.,None,[],[],[],3
BEM3055,Ethics and Responsible Innovation,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM3055&ay=2023/4&sys=0,,None,None,[],[],[],3
BEM3056,Business and Climate Change,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM3056&ay=2023/4&sys=0,,None,None,[],[],[],3
BEM3057,Employment Law for Managers,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM3057&ay=2023/4&sys=0,,None,None,[],[],[],3
BEM3059,Circular Economy Business and Enterprise,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM3059&ay=2023/4&sys=0,,None,None,[],[],[],3
BEM3060,Managing Entrepreneurially ,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM3060&ay=2023/4&sys=0,,None,None,[],[],[],3
BEM3061,Business Ignition - Idea to Implementation,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM3061&ay=2023/4&sys=0,,Managing Entrepreneurially OR Thinking Entrepreneurially (previously “Could you be an entrepreneur?) OR Startup Entrepreneurship OR Entrepreneurial Value Creation (These are WPI Entrepreneurship modules),None,[],[],[],3
BEM3062,Operations Analytics,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM3062&ay=2023/4&sys=0,,BEM1024 OR BEE1022 OR BEE1025 OR BEA1012ANDBEM1025,None,"['BEM1024', 'BEE1025', 'BEE1022']",[],[],3
BEM3063,Strategic and HR Analytics,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM3063&ay=2023/4&sys=0,,BEM1024 OR BEE1022 OR BEE1025 OR BEA1012ANDBEM1025,None,"['BEM1024', 'BEE1025', 'BEE1022']",[],[],3
BEM3064,Analytics and Visualisation for Managers and Consultants,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM3064&ay=2023/4&sys=0,,BEM1024 OR BEE1022 OR BEE1025 OR BEA1012ANDBEM1025,,"['BEM1024', 'BEE1025', 'BEE1022']",[],[],3
BEM3065,Strategy,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM3065&ay=2023/4&sys=0,,BEM1023 OR BEM1016 / BEM1016a OR BEA1005,Non requisite: BEM3033 / BEM3033A,"['BEM1023', 'BEA1005', 'BEM1016']",['BEM3033'],[],3
BEM3066,Marketing Issues and Trends,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM3066&ay=2023/4&sys=0,,BEM1019 Fundamentals of MarketingBEM1015 Marketing and SocietyBEM2016 Consumer BehaviourBEM2044 Consumer and Market AnalysisBEM2033 Brands & Branding,None,['BEM1019'],[],[],3
BEM3067,Innovation for Urgent Global Challenges,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM3067&ay=2023/4&sys=0,,None,None,[],[],[],3
BEM3069,Strategic Digital Marketing Practice,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM3069&ay=2023/4&sys=0,,BEM1019 Fundamentals of Marketing and BEM2016 Consumer Behaviour,None,"['BEM2016', 'BEM1019']",[],[],3
BEM3070,"Media, Al and the Metaverse",15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM3070&ay=2023/4&sys=0,,None,None,[],[],[],3
BEM3072,Entrepreneurial Futures,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM3072&ay=2023/4&sys=0,,None,None,[],[],[],3
BEP1010,Business and Society,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEP1010&ay=2023/4&sys=0,,None,None,[],[],[],1
BEP1020,Business Practice and Analysis,15.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BEP1020&ay=2023/4&sys=0,,None,None,[],[],[],1
BEP1030,Operations Management: A Sustainable Perspective,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP1030&ay=2023/4&sys=0,,None,None,[],[],[],1
BEP1034,Introduction to Innovation and Entrepreneurship,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP1034&ay=2023/4&sys=0,,None,None,[],[],[],1
BEP1039,Impactful Innovation and Entrepreneurship,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP1039&ay=2023/4&sys=0,,None,None,[],[],[],1
